
   INFO  Server running on [http://127.0.0.1:8081].  

  Press Ctrl+C to stop the server
  2026-06-20 10:28:55 /api/v1/user/me ................................................ ~ 0.09ms
  2026-06-20 10:28:55 /api/v1/user/catalogs .......................................... ~ 0.39ms
  2026-06-20 10:28:55 /api/v1/user/profiles .......................................... ~ 0.02ms
  2026-06-20 10:28:55 /api/v1/user/privacy ........................................... ~ 0.02ms
  2026-06-20 10:28:56 /api/v1/user/privacy ........................................... ~ 0.27ms
  2026-06-20 10:28:57 /api/v1/user/me ................................................ ~ 4.84ms
  2026-06-20 10:28:57 /api/v1/user/catalogs ......................................... ~ 15.01ms
  2026-06-20 10:28:58 /api/v1/user/me ................................................ ~ 0.19ms
  2026-06-20 10:28:58 /api/v1/user/logs ............................................ ~ 503.26ms
  2026-06-20 10:28:58 /api/v1/user/profiles ........................................ ~ 503.24ms
  2026-06-20 10:28:58 /api/v1/user/privacy ........................................... ~ 0.14ms
  2026-06-20 10:28:58 /api/v1/user/profiles .......................................... ~ 0.12ms
  2026-06-20 10:28:58 /api/v1/admin/system-config .................................... ~ 0.01ms
  2026-06-20 10:28:58 /api/v1/admin/menu-config ...................................... ~ 0.01ms
  2026-06-20 10:28:59 /api/v1/user/privacy ........................................... ~ 0.09ms
  2026-06-20 10:29:00 /api/v1/user/privacy ........................................... ~ 0.14ms
  2026-06-20 10:29:01 /api/v1/user/me ................................................ ~ 0.08ms
  2026-06-20 10:29:01 /api/v1/user/catalogs .......................................... ~ 0.23ms
  2026-06-20 10:29:01 /api/v1/user/profiles ........................................ ~ 504.94ms
  2026-06-20 10:29:01 /api/v1/user/privacy ........................................... ~ 0.04ms
  2026-06-20 10:29:02 /api/v1/user/privacy ........................................... ~ 0.06ms
  2026-06-20 10:29:02 /api/v1/node/resolver/config ................................... ~ 0.09ms
  2026-06-20 10:29:02 /api/v1/node/nodes/heartbeat ................................... ~ 0.53ms
  2026-06-20 10:29:02 /api/v1/node/resolver/config ................................... ~ 0.03ms
  2026-06-20 10:29:06 /api/v1/user/me .............................................. ~ 516.56ms
  2026-06-20 10:29:07 /api/v1/user/logs .............................................. ~ 0.05ms
  2026-06-20 10:29:07 /api/v1/user/me ................................................ ~ 0.27ms
  2026-06-20 10:29:07 /api/v1/user/catalogs .......................................... ~ 0.46ms
  2026-06-20 10:29:07 /api/v1/user/profiles .......................................... ~ 0.53ms
  2026-06-20 10:29:07 /api/v1/user/profiles .......................................... ~ 0.20ms
  2026-06-20 10:29:07 /api/v1/user/privacy ........................................... ~ 0.12ms
  2026-06-20 10:29:07 /api/v1/admin/system-config .................................. ~ 501.94ms
  2026-06-20 10:29:07 /api/v1/admin/menu-config .................................... ~ 502.38ms
  2026-06-20 10:29:07 /api/v1/user/privacy ........................................... ~ 0.03ms
  2026-06-20 10:29:09 /api/v1/internal/geodns/health-view ............................ ~ 0.64ms
  2026-06-20 10:29:11 /api/v1/user/me ................................................ ~ 0.39ms
  2026-06-20 10:29:11 /api/v1/user/security .......................................... ~ 0.58ms
  2026-06-20 10:29:11 /api/v1/user/profiles .......................................... ~ 0.04ms
  2026-06-20 10:29:12 /api/v1/user/security .......................................... ~ 0.13ms
  2026-06-20 10:29:14 /api/v1/user/security .......................................... ~ 0.12ms
  2026-06-20 10:29:15 /api/v1/user/me ................................................ ~ 0.09ms
  2026-06-20 10:29:15 /api/v1/user/security .......................................... ~ 0.48ms
  2026-06-20 10:29:15 /api/v1/user/profiles ........................................ ~ 505.11ms
  2026-06-20 10:29:16 /api/v1/user/me ................................................ ~ 0.11ms
  2026-06-20 10:29:16 /api/v1/user/security .......................................... ~ 0.55ms
  2026-06-20 10:29:16 /api/v1/user/profiles .......................................... ~ 0.02ms
  2026-06-20 10:29:16 /api/v1/user/me ................................................ ~ 0.01ms
  2026-06-20 10:29:16 /api/v1/user/logs .............................................. ~ 0.02ms
  2026-06-20 10:29:16 /api/v1/user/profiles .......................................... ~ 0.11ms
  2026-06-20 10:29:16 /api/v1/user/security .......................................... ~ 0.11ms
  2026-06-20 10:29:17 /api/v1/admin/system-config .................................... ~ 0.06ms
  2026-06-20 10:29:17 /api/v1/admin/menu-config ...................................... ~ 0.01ms
  2026-06-20 10:29:18 /api/v1/user/me ................................................ ~ 0.33ms
  2026-06-20 10:29:18 /api/v1/user/catalogs .......................................... ~ 0.72ms
  2026-06-20 10:29:18 /api/v1/user/profiles .......................................... ~ 0.03ms
  2026-06-20 10:29:18 /api/v1/user/parental .......................................... ~ 0.03ms
  2026-06-20 10:29:19 /api/v1/user/parental .......................................... ~ 0.08ms
  2026-06-20 10:29:21 /api/v1/user/parental .......................................... ~ 0.18ms
  2026-06-20 10:29:24 /api/v1/internal/geodns/health-view ............................ ~ 0.11ms
  2026-06-20 10:29:28 /api/v1/user/parental .......................................... ~ 0.29ms
  2026-06-20 10:29:32 /api/v1/user/parental .......................................... ~ 0.09ms
  2026-06-20 10:29:32 /api/v1/node/resolver/config ................................... ~ 0.09ms
  2026-06-20 10:29:32 /api/v1/node/nodes/heartbeat ................................... ~ 0.27ms
  2026-06-20 10:29:32 /api/v1/node/resolver/config ................................... ~ 0.04ms
  2026-06-20 10:29:34 /api/v1/user/parental .......................................... ~ 0.37ms
  2026-06-20 10:29:35 /api/v1/user/parental .......................................... ~ 0.12ms
  2026-06-20 10:29:36 /api/v1/user/me ................................................ ~ 0.08ms
  2026-06-20 10:29:36 /api/v1/user/catalogs .......................................... ~ 0.24ms
  2026-06-20 10:29:36 /api/v1/user/profiles .......................................... ~ 0.01ms
  2026-06-20 10:29:36 /api/v1/user/parental .......................................... ~ 0.01ms
  2026-06-20 10:29:37 /api/v1/user/parental .......................................... ~ 0.08ms
  2026-06-20 10:29:39 /api/v1/internal/geodns/health-view ............................ ~ 0.05ms
  2026-06-20 10:29:54 /api/v1/internal/geodns/health-view ............................ ~ 0.83ms
  2026-06-20 10:30:02 /api/v1/node/nodes/heartbeat ................................... ~ 0.21ms
  2026-06-20 10:30:02 /api/v1/node/resolver/config ................................... ~ 0.36ms
  2026-06-20 10:30:02 /api/v1/node/resolver/config ................................... ~ 0.01ms
  2026-06-20 10:30:09 /api/v1/internal/geodns/health-view ............................ ~ 0.38ms
  2026-06-20 10:30:24 /api/v1/internal/geodns/health-view ............................ ~ 2.15ms
  2026-06-20 10:30:32 /api/v1/node/resolver/config ................................... ~ 0.71ms
  2026-06-20 10:30:32 /api/v1/node/nodes/heartbeat ................................... ~ 0.85ms
  2026-06-20 10:30:32 /api/v1/node/resolver/config ................................... ~ 0.01ms
  2026-06-20 10:30:39 /api/v1/internal/geodns/health-view ............................ ~ 0.51ms
  2026-06-20 10:30:45 /api/v1/user/me ................................................ ~ 0.80ms
  2026-06-20 10:30:45 /api/v1/user/logs .............................................. ~ 1.51ms
  2026-06-20 10:30:45 /api/v1/user/me ................................................ ~ 0.82ms
  2026-06-20 10:30:45 /api/v1/user/catalogs .......................................... ~ 0.81ms
  2026-06-20 10:30:45 /api/v1/user/profiles ........................................ ~ 504.93ms
  2026-06-20 10:30:45 /api/v1/user/profiles ........................................ ~ 504.39ms
  2026-06-20 10:30:45 /api/v1/user/parental .......................................... ~ 0.12ms
  2026-06-20 10:30:45 /api/v1/admin/system-config .................................... ~ 0.04ms
  2026-06-20 10:30:45 /api/v1/admin/menu-config ...................................... ~ 0.31ms
  2026-06-20 10:30:46 /api/v1/user/parental .......................................... ~ 0.08ms
  2026-06-20 10:30:54 /api/v1/internal/geodns/health-view ............................ ~ 0.95ms
  2026-06-20 10:31:00 /api/v1/user/me ................................................ ~ 6.38ms
  2026-06-20 10:31:00 /api/v1/user/catalogs ......................................... ~ 16.80ms
  2026-06-20 10:31:00 /api/v1/user/me ................................................ ~ 6.73ms
  2026-06-20 10:31:00 /api/v1/user/logs .............................................. ~ 0.16ms
  2026-06-20 10:31:00 /api/v1/user/profiles .......................................... ~ 0.13ms
  2026-06-20 10:31:00 /api/v1/user/parental .......................................... ~ 0.39ms
  2026-06-20 10:31:00 /api/v1/user/profiles .......................................... ~ 0.41ms
  2026-06-20 10:31:00 /api/v1/admin/system-config .................................... ~ 0.07ms
  2026-06-20 10:31:00 /api/v1/admin/menu-config ...................................... ~ 0.43ms
  2026-06-20 10:31:00 /api/v1/user/parental ........................................ ~ 505.02ms
  2026-06-20 10:31:02 /api/v1/node/nodes/heartbeat ................................... ~ 0.04ms
  2026-06-20 10:31:02 /api/v1/node/resolver/config ................................... ~ 0.15ms
  2026-06-20 10:31:02 /api/v1/node/resolver/config ................................. ~ 500.93ms
  2026-06-20 10:31:09 /api/v1/internal/geodns/health-view ............................ ~ 0.38ms
  2026-06-20 10:31:20 /api/v1/user/me .............................................. ~ 507.21ms
  2026-06-20 10:31:20 /api/v1/user/catalogs ........................................ ~ 507.93ms
  2026-06-20 10:31:20 /api/v1/user/me ................................................ ~ 0.39ms
  2026-06-20 10:31:20 /api/v1/user/logs .............................................. ~ 0.87ms
  2026-06-20 10:31:20 /api/v1/user/profiles .......................................... ~ 0.21ms
  2026-06-20 10:31:20 /api/v1/user/parental .......................................... ~ 0.38ms
  2026-06-20 10:31:20 /api/v1/user/profiles .......................................... ~ 0.25ms
  2026-06-20 10:31:21 /api/v1/admin/system-config .................................... ~ 0.06ms
  2026-06-20 10:31:21 /api/v1/admin/menu-config ...................................... ~ 0.01ms
  2026-06-20 10:31:21 /api/v1/user/parental .......................................... ~ 0.01ms
  2026-06-20 10:31:24 /api/v1/internal/geodns/health-view ............................ ~ 0.19ms
  2026-06-20 10:31:32 /api/v1/node/resolver/config ................................... ~ 0.47ms
  2026-06-20 10:31:32 /api/v1/node/nodes/heartbeat ................................... ~ 0.82ms
  2026-06-20 10:31:32 /api/v1/node/resolver/config ................................... ~ 0.03ms
  2026-06-20 10:31:39 /api/v1/internal/geodns/health-view ............................ ~ 0.38ms
  2026-06-20 10:31:54 /api/v1/internal/geodns/health-view ............................ ~ 0.81ms
  2026-06-20 10:32:02 /api/v1/node/resolver/config ................................... ~ 0.61ms
  2026-06-20 10:32:02 /api/v1/node/nodes/heartbeat ................................... ~ 0.92ms
  2026-06-20 10:32:02 /api/v1/node/resolver/config ................................... ~ 0.02ms
  2026-06-20 10:32:09 /api/v1/internal/geodns/health-view ............................ ~ 0.75ms
  2026-06-20 10:32:24 /api/v1/internal/geodns/health-view .......................... ~ 501.15ms
  2026-06-20 10:32:32 /api/v1/node/nodes/heartbeat ................................... ~ 0.31ms
  2026-06-20 10:32:32 /api/v1/node/resolver/config ................................... ~ 0.86ms
  2026-06-20 10:32:32 /api/v1/node/resolver/config ................................... ~ 0.02ms
  2026-06-20 10:32:39 /api/v1/internal/geodns/health-view ............................ ~ 0.28ms
  2026-06-20 10:32:41 /api/v1/user/me ................................................ ~ 0.05ms
  2026-06-20 10:32:41 /api/v1/user/security .......................................... ~ 0.02ms
  2026-06-20 10:32:41 /api/v1/user/profiles .......................................... ~ 0.01ms
  2026-06-20 10:32:42 /api/v1/user/security .......................................... ~ 0.08ms
  2026-06-20 10:32:44 /api/v1/user/me .............................................. ~ 501.66ms
  2026-06-20 10:32:44 /api/v1/user/catalogs ........................................ ~ 502.03ms
  2026-06-20 10:32:44 /api/v1/user/profiles .......................................... ~ 0.02ms
  2026-06-20 10:32:44 /api/v1/user/privacy ........................................... ~ 0.02ms
  2026-06-20 10:32:44 /api/v1/user/privacy ........................................... ~ 0.09ms
  2026-06-20 10:32:46 /api/v1/user/me ................................................ ~ 0.09ms
  2026-06-20 10:32:46 /api/v1/user/catalogs .......................................... ~ 0.02ms
  2026-06-20 10:32:46 /api/v1/user/profiles .......................................... ~ 0.01ms
  2026-06-20 10:32:46 /api/v1/user/privacy ........................................... ~ 0.01ms
  2026-06-20 10:32:47 /api/v1/user/privacy ........................................... ~ 0.05ms
  2026-06-20 10:32:48 /api/v1/user/privacy ........................................... ~ 0.09ms
  2026-06-20 10:32:49 /api/v1/user/privacy ........................................... ~ 0.05ms
  2026-06-20 10:32:51 /api/v1/user/me ................................................ ~ 0.23ms
  2026-06-20 10:32:51 /api/v1/user/catalogs .......................................... ~ 0.58ms
  2026-06-20 10:32:51 /api/v1/user/profiles .......................................... ~ 0.02ms
  2026-06-20 10:32:51 /api/v1/user/privacy ........................................... ~ 0.02ms
  2026-06-20 10:32:52 /api/v1/user/privacy ........................................... ~ 0.09ms
  2026-06-20 10:32:54 /api/v1/internal/geodns/health-view ............................ ~ 0.11ms
  2026-06-20 10:32:57 /api/v1/user/privacy ........................................... ~ 0.37ms
  2026-06-20 10:32:58 /api/v1/user/me ................................................ ~ 0.15ms
  2026-06-20 10:32:58 /api/v1/user/catalogs .......................................... ~ 0.60ms
  2026-06-20 10:32:58 /api/v1/user/profiles .......................................... ~ 0.05ms
  2026-06-20 10:32:58 /api/v1/user/privacy ........................................... ~ 0.02ms
  2026-06-20 10:32:59 /api/v1/user/privacy ........................................... ~ 0.11ms
  2026-06-20 10:33:02 /api/v1/node/resolver/config ................................... ~ 0.34ms
  2026-06-20 10:33:02 /api/v1/node/nodes/heartbeat ................................... ~ 0.64ms
  2026-06-20 10:33:02 /api/v1/node/resolver/config ................................... ~ 0.01ms
  2026-06-20 10:33:09 /api/v1/internal/geodns/health-view ............................ ~ 0.21ms
  2026-06-20 10:33:16 /api/v1/admin/login ............................................ ~ 0.35ms
  2026-06-20 10:33:20 /api/v1/admin/login .......................................... ~ 500.87ms
  2026-06-20 10:33:24 /api/v1/internal/geodns/health-view ............................ ~ 0.05ms
  2026-06-20 10:33:32 /api/v1/node/resolver/config ................................... ~ 0.16ms
  2026-06-20 10:33:32 /api/v1/node/nodes/heartbeat ................................... ~ 0.35ms
  2026-06-20 10:33:32 /api/v1/node/resolver/config ................................... ~ 0.01ms
  2026-06-20 10:33:39 /api/v1/internal/geodns/health-view ............................ ~ 0.17ms
  2026-06-20 10:33:44 /api/v1/admin/login ............................................ ~ 0.04ms
  2026-06-20 10:33:44 /api/v1/admin/geo-dns/seed-demo ................................ ~ 0.01ms
  2026-06-20 10:33:44 /api/v1/admin/geo-dns/bind-local ............................... ~ 0.01ms
  2026-06-20 10:33:44 /api/v1/admin/geo-dns .......................................... ~ 0.01ms
  2026-06-20 10:33:44 /api/v1/admin/member-rules ..................................... ~ 0.01ms
  2026-06-20 10:33:54 /api/v1/internal/geodns/health-view ............................ ~ 0.06ms
  2026-06-20 10:34:00 /api/v1/user/me ................................................ ~ 0.89ms
  2026-06-20 10:34:00 /api/v1/user/catalogs ........................................ ~ 513.21ms
